sublime-tabs@0.5.6,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"4,501","2,531",0,0.00
sublime-tabs@0.5.6,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use Pane::onDidMoveItem instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,510","2,531",0,0.00
sublime-tabs@0.5.6,Use Pane::onDidMoveItem instead,"May 20, 2015 - May 27, 2015",Linux users,311,181,0,0.00
sublime-tabs@0.5.6,Use Pane::onDidRemoveItem instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,501","2,531",0,0.00
sublime-tabs@0.5.6,Use Pane::onDidRemoveItem instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
auto-indent@0.1.0,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `auto-indent` package,"May 20, 2015 - May 27, 2015",Mac Users,"4,052","2,359",0,0.00
auto-indent@0.1.0,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `auto-indent` package,"May 20, 2015 - May 27, 2015",Linux users,242,112,0,0.00
auto-indent@0.1.0,The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.,"May 20, 2015 - May 27, 2015",Mac Users,"4,061","2,359",0,0.00
auto-indent@0.1.0,The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.,"May 20, 2015 - May 27, 2015",Linux users,242,112,0,0.00
auto-indent@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Mac Users,"4,052","2,359",0,0.00
auto-indent@0.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Linux users,242,112,0,0.00
language-haskell@1.0.0,Store package settings files in the `settings/` directory instead of `scoped-properties/`,"May 20, 2015 - May 27, 2015",Mac Users,"4,648","2,281",0,0.00
language-haskell@1.0.0,Store package settings files in the `settings/` directory instead of `scoped-properties/`,"May 20, 2015 - May 27, 2015",Linux users,328,130,0,0.00
atom-rails@0.4.0,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-rails` package,"May 20, 2015 - May 27, 2015",Mac Users,"3,767","2,229",0,0.00
atom-rails@0.4.0,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-rails` package,"May 20, 2015 - May 27, 2015",Linux users,199,147,0,0.00
atom-rails@0.4.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Mac Users,"3,767","2,229",0,0.00
atom-rails@0.4.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Linux users,199,147,0,0.00
ruby-slim@0.2.0,Store package settings files in the `settings/` directory instead of `scoped-properties/`,"May 20, 2015 - May 27, 2015",Mac Users,"3,490","2,168",0,0.00
ruby-slim@0.2.0,Store package settings files in the `settings/` directory instead of `scoped-properties/`,"May 20, 2015 - May 27, 2015",Linux users,0,0,0,0.00
regex-railroad-diagram@0.7.4,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `regex-railroad-diagram` package,"May 20, 2015 - May 27, 2015",Mac Users,"5,780","2,082",0,0.00
regex-railroad-diagram@0.7.4,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `regex-railroad-diagram` package,"May 20, 2015 - May 27, 2015",Linux users,164,26,0,0.00
ask-stack@1.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Mac Users,"5,054","1,918",0,0.00
ask-stack@1.1.0,"Use `activationCommands` instead of `activationEvents` in your package.json Commands should be grouped by selector as follows: ```json ""activationCommands"": { ""atom-workspace"": [""foo:bar"", ""foo:baz""], ""atom-text-editor"": [""foo:quux""] } ```","May 20, 2015 - May 27, 2015",Linux users,138,78,0,0.00
recent-files@0.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Mac Users,"3,102","1,849",0,0.00
recent-files@0.3.0,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Linux users,86,60,0,0.00
recent-files@0.3.0,Use ::getDirectories instead,"May 20, 2015 - May 27, 2015",Mac Users,"3,110","1,849",0,0.00
recent-files@0.3.0,Use ::getDirectories instead,"May 20, 2015 - May 27, 2015",Linux users,86,60,0,0.00
recent-files@0.3.0,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Mac Users,"3,093","1,849",0,0.00
recent-files@0.3.0,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Linux users,86,60,0,0.00
atom-lint@0.20.1,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-lint` package,"May 20, 2015 - May 27, 2015",Mac Users,"3,534","1,832",0,0.00
atom-lint@0.20.1,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `atom-lint` package,"May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Mac Users,"3,525","1,832",0,0.00
atom-lint@0.20.1,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Mac Users,"3,516","1,814",0,0.00
atom-lint@0.20.1,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"3,525","1,814",0,0.00
atom-lint@0.20.1,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.","May 20, 2015 - May 27, 2015",Mac Users,"3,499","1,814",0,0.00
atom-lint@0.20.1,"The atom.workspaceView.statusBar global is deprecated. The global was previously being assigned by the status-bar package, but Atom packages should never assign globals. In the future, this problem will be solved by an inter-package communication API available on `atom.services`. For now, you can get a reference to the `status-bar` element via `document.querySelector('status-bar')`.","May 20, 2015 - May 27, 2015",Linux users,631,380,0,0.00
atom-lint@0.20.1,Use PackageManager::onDidActivateInitialPackages instead,"May 20, 2015 - May 27, 2015",Mac Users,"3,508","1,814",0,0.00
atom-lint@0.20.1,Use PackageManager::onDidActivateInitialPackages instead,"May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,Use Workspace::onDidAddTextEditor instead,"May 20, 2015 - May 27, 2015",Mac Users,"3,508","1,814",0,0.00
atom-lint@0.20.1,Use Workspace::onDidAddTextEditor instead,"May 20, 2015 - May 27, 2015",Linux users,631,380,0,0.00
atom-lint@0.20.1,"Use ::addRightTile({item, priority}) instead.","May 20, 2015 - May 27, 2015",Mac Users,"3,482","1,806",0,0.00
atom-lint@0.20.1,"Use ::addRightTile({item, priority}) instead.","May 20, 2015 - May 27, 2015",Linux users,639,380,0,0.00
atom-lint@0.20.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"3,361","1,788",0,0.00
atom-lint@0.20.1,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,579,371,0,0.00
atom-lint@0.20.1,Use TextEditor::onDidChangeGrammar instead,"May 20, 2015 - May 27, 2015",Mac Users,"3,361","1,788",0,0.00
atom-lint@0.20.1,Use TextEditor::onDidChangeGrammar instead,"May 20, 2015 - May 27, 2015",Linux users,579,371,0,0.00
atom-lint@0.20.1,Use TextEditorView::getPaneView() instead,"May 20, 2015 - May 27, 2015",Mac Users,"3,369","1,788",0,0.00
atom-lint@0.20.1,Use TextEditorView::getPaneView() instead,"May 20, 2015 - May 27, 2015",Linux users,579,371,0,0.00
coffee-lint@0.7.3,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `coffee-lint` package,"May 20, 2015 - May 27, 2015",Mac Users,"2,886","1,676",0,0.00
coffee-lint@0.7.3,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `coffee-lint` package,"May 20, 2015 - May 27, 2015",Linux users,147,112,0,0.00
coffee-lint@0.7.3,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Mac Users,"2,886","1,676",0,0.00
coffee-lint@0.7.3,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Linux users,147,112,0,0.00
coffee-lint@0.7.3,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"2,877","1,667",0,0.00
coffee-lint@0.7.3,"Requiring `$` from `atom` is no longer supported. If you are using `space-pen`, please require `$` from `atom-space-pen-views`. Otherwise require `jquery` instead: `{$} = require 'atom-space-pen-views'` or `$ = require 'jquery'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies. Or add `""jquery"": ""^2""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,147,112,0,0.00
coffee-lint@0.7.3,"Requiring `$$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$$} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"2,877","1,667",0,0.00
coffee-lint@0.7.3,"Requiring `$$$` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{$$$} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,147,112,0,0.00
